Id,SalePrice
1461,126281.58539682541
1462,157126.73333333334
1463,184655.87
1464,185018.01083333333
1465,201033.27
1466,182005.03157894738
1467,170923.03
1468,176722.2615789474
1469,182274.63
1470,124057.26
1471,182701.78
1472,95894.0
1473,95879.71
1474,149806.85
1475,133637.84
1476,391518.25
1477,256714.39
1478,299228.92
1479,245105.06
1480,463608.31
1481,308627.71
1482,211056.475
1483,177870.0541669391
1484,174099.78
1485,172865.92166666663
1486,200420.15
1487,335400.4
1488,240851.35
1489,206910.21
1490,206825.56
1491,189051.0323076923
1492,114026.5
1493,167684.68
1494,298984.74
1495,299194.38
1496,221638.8
1497,195154.05
1498,153370.43
1499,154478.73
1500,164878.24
1501,175933.91449275363
1502,157748.7008333333
1503,292255.74
1504,229395.0
1505,217583.38
1506,199680.82
1507,245712.26
1508,209737.4
1509,167493.04333333333
1510,157587.0472972973
1511,153539.35952380951
1512,165484.5
1513,134764.2
1514,162001.83333333334
1515,175322.4
1516,149052.0
1517,153142.41666666666
1518,131132.97333333333
1519,204339.55
1520,139792.7544642857
1521,144839.03115079366
1522,157876.5
1523,122037.89642857142
1524,125163.94714285714
1525,128696.74333333335
1526,129471.0
1527,112131.91666666669
1528,133731.2972972973
1529,145017.94047619047
1530,162091.70833333334
1531,122670.6
1532,110603.0
1533,145236.10714285716
1534,116713.06955182074
1535,158552.7
1536,117189.93333333333
1537,76401.76
1538,178191.0
1539,217247.45
1540,109554.85
1541,147360.97
1542,145907.86
1543,198366.79
1544,80428.41
1545,99583.23
1546,115992.69
1547,138136.68
1548,132295.51857142858
1549,108962.36636363636
1550,144369.6733333333
1551,116629.8
1552,143238.5833333333
1553,151101.49
1554,110868.36333333333
1555,196006.92
1556,137549.38
1557,136628.21666666667
1558,103005.08
1559,122088.02
1560,151537.0
1561,152865.5
1562,128007.20190476193
1563,125199.33
1564,160487.85333333333
1565,155869.59
1566,213972.14
1567,84637.02666666666
1568,239717.98
1569,148709.09
1570,128525.92764705881
1571,130146.26
1572,142250.29464285716
1573,227115.32
1574,117218.54729729731
1575,201486.965
1576,215888.01
1577,204048.28
1578,164503.81
1579,145388.5
1580,192659.01265796702
1581,135507.3
1582,135173.26666666666
1583,332631.26
1584,235615.47
1585,141182.0
1586,76340.72
1587,97988.33
1588,149814.7142857143
1589,97763.90666666668
1590,129953.73333333334
1591,105164.69
1592,130880.1072972973
1593,118869.92666666667
1594,141869.95
1595,126267.52
1596,232000.08
1597,195608.28
1598,184305.0884615385
1599,205045.28
1600,190829.2
1601,81388.8
1602,106237.73
1603,95023.84142857142
1604,281697.67
1605,247174.53
1606,168842.98666666663
1607,148034.4711111111
1608,210941.05
1609,201272.3423076923
1610,167121.49333333332
1611,145496.3333333333
1612,156175.84
1613,156099.62
1614,119277.33
1615,87710.0
1616,83805.09090909091
1617,88961.13636363637
1618,128287.73809523809
1619,130129.83
1620,145762.34
1621,138818.06
1622,151550.3590620032
1623,290520.22
1624,199053.995
1625,126610.66
1626,167003.875
1627,188843.0
1628,277055.03
1629,173572.1673809524
1630,366592.08
1631,218713.78833333333
1632,247492.71
1633,171020.41
1634,184602.74333333335
1635,178714.27277777775
1636,161838.77335240276
1637,201937.06
1638,210424.1
1639,188001.32
1640,255445.63
1641,194555.33
1642,224656.11133333333
1643,225436.385
1644,227846.86666666667
1645,195662.82
1646,156191.56
1647,159965.08333333334
1648,142290.0
1649,139038.62833333333
1650,123590.5
1651,122879.01
1652,92437.43636363637
1653,97619.63636363637
1654,152515.1733333333
1655,156158.0
1656,145466.7972972973
1657,152674.1733333333
1658,148340.1472972973
1659,138852.95
1660,148159.1
1661,430991.08
1662,397785.44
1663,381983.95
1664,461801.35
1665,309240.35
1666,331370.67
1667,349496.77
1668,324520.44
1669,298675.25
1670,332641.57
1671,274927.74
1672,458375.63
1673,299546.79
1674,252973.67
1675,193107.4
1676,191892.2
1677,213247.61
1678,463569.98
1679,380520.65
1680,331876.2
1681,263499.23
1682,301832.58
1683,188960.66
1684,171742.75
1685,175176.60107170098
1686,167390.6512095456
1687,166929.53
1688,187853.84335240274
1689,186937.37642884385
1690,185305.4357142857
1691,175111.49481203008
1692,263929.93
1693,170754.61166666663
1694,185020.025
1695,169729.8505263158
1696,270084.82
1697,169966.5005263158
1698,349698.9
1699,331013.69
1700,248431.75
1701,266164.19
1702,255367.1
1703,248261.01
1704,289110.73
1705,234717.98
1706,438225.89
1707,220652.6
1708,218759.48
1709,279890.85
1710,220001.71
1711,261158.14
1712,237374.61
1713,255171.72
1714,218129.63
1715,203703.86342892156
1716,178130.24
1717,161098.8023076923
1718,146079.92
1719,209445.65
1720,250274.01
1721,161523.41
1722,136166.63
1723,155864.87
1724,205980.45
1725,229149.72
1726,188668.1
1727,174023.98
1728,182507.385
1729,165234.80444444445
1730,158562.25666666668
1731,124515.785
1732,131173.16
1733,121190.12142857144
1734,127969.86309523809
1735,133021.73476190478
1736,119768.14285714286
1737,368207.41
1738,225664.67
1739,266541.82
1740,212089.96
1741,192567.09
1742,176309.86449275364
1743,174565.455
1744,311992.3
1745,244962.0
1746,279249.98
1747,214852.97
1748,214400.31
1749,162970.41
1750,153393.72
1751,230589.29
1752,123410.71642857144
1753,141839.74666666667
1754,212345.69
1755,167388.81
